event,ID,default,Prepayment,vintage,cred_score,DBT_RATIO,start_date,end_date
0,1901560319149000,0,0,2007,730,0.34,01Sep2007,
2,1901561242629000,0,1,2005,684,0.35,01Dec2005,01Jan2008
1,1901561712449000,1,0,2004,714,0.41,01Dec2005,01Apr2009
1,1901561773829000,1,0,2004,656,0.41,01Dec2005,01Mar2012
2,1901561775529000,0,1,2004,661,0.18,01Dec2005,01May2007
2,1901561781259000,0,1,2004,718,0.26,01Dec2005,01Sep2006
1,1901561792539000,1,0,2004,750,0.14,01Dec2005,01Jun2009
2,1901561812159000,0,1,2003,764,0.18,01Dec2005,01Feb2007
2,1901562128899000,0,1,2004,724,0.24,01Dec2005,01Oct2011
2,1901562205989000,0,1,2005,810,0.23,01Dec2005,01Nov2006
1,1901564048349000,1,0,2005,659,0.45,01Jan2006,01Mar2011
2,1901564504109000,0,1,2003,783,0.22,01Dec2005,01Aug2006
2,1901564586409000,0,1,2004,657,0.22,01Dec2005,01Nov2006
1,1901564861219000,1,0,2003,718,0.34,01Dec2005,01Sep2007
1,1901564865639000,1,0,2003,726,0.4,01Dec2005,01Sep2007
0,1901565734669000,0,0,2003,774,0.48,01Dec2005,
2,1901565735129000,0,1,2003,756,0.24,01Dec2005,01Apr2008
0,1901565749699000,0,0,2003,733,0.28,01Dec2005,
0,1901565766519000,0,0,2003,673,0.37,01Dec2005,
0,1901566023429000,0,0,2004,806,0.14,01Dec2005,
2,1901566025049000,0,1,2004,673,0.17,01Dec2005,01May2012
2,1901566030639000,0,1,2004,784,0.11,01Dec2005,01Mar2009
0,1901566031369000,0,0,2004,801,0.37,01Dec2005,
2,1901566036169000,0,1,2004,726,0.14,01Dec2005,01May2009
2,1901566159599000,0,1,2004,699,0.14,01Dec2005,01Nov2008
2,1901567049279000,0,1,2005,741,0.26,01Dec2005,01May2007
0,1901567697789000,0,0,2004,772,0.25,01Dec2005,
2,1901568973429000,0,1,2003,,0.23,01Dec2005,01Jul2008
2,1901569071279000,0,1,2003,717,0.23,01Dec2005,01Jul2008
2,1901569074379000,0,1,2003,759,0.12,01Dec2005,01Mar2006
0,1901569077559000,0,0,2007,811,0.24,01Feb2007,
2,1901569086039000,0,1,2004,744,0.07,01Dec2005,01Mar2006
0,1901569097909000,0,0,2004,757,0.09,01Dec2005,
2,1901569115749000,0,1,2004,802,0.24,01Dec2005,01Aug2007
0,1901569494829000,0,0,2006,799,0.33,01Mar2006,
2,1901569647249000,0,1,2007,718,0.19,01Dec2007,01Dec2010
2,1901569770609000,0,1,2006,774,0.47,01Aug2006,01Oct2007
0,1901569770959000,0,0,2006,736,0.24,01Jun2006,
2,1901569894769000,0,1,2008,655,0.21,01Feb2008,01Apr2008
0,1901570701589000,0,0,2003,797,0.04,01Dec2005,
2,1901570710579000,0,1,2003,685,0.39,01Dec2005,01Jul2006
1,1901571418619000,1,0,2003,633,0.34,01Dec2005,01Aug2008
2,1901572817369000,0,1,2006,669,0.46,01Mar2006,01Nov2006
2,1901573570319000,0,1,2005,716,0.23,01Dec2005,01Apr2006
